time,retweets,favorites,amount_of_tweets,sentiment,sentiwordnet,weighted_sentiment,weighted_sentiwordnet
2013-01-06 00:00:00,0,0,1,-1.0,0.0026041666666666665,-1.0,0.0026041666666666665
2013-01-06 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-07 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-07 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-08 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-08 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-09 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-09 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-10 00:00:00,0,0,1,1.0,0.0026041666666666665,1.0,0.0026041666666666665
2013-01-10 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-11 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-11 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-12 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-12 12:00:00,0,0,1,0.0,0.08029899001121521,0.0,0.08029899001121521
2013-01-13 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-13 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-14 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-14 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-15 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-15 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-16 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-16 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-17 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-17 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-18 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-18 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-19 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-19 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-20 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-20 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-21 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-21 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-22 00:00:00,0,0,2,1.0,0.0,1.0,0.0
2013-01-22 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-23 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-23 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-24 00:00:00,0,0,1,0.0,0.0007820128466335064,0.0,0.0007820128466335064
2013-01-24 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-25 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-25 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-26 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-26 12:00:00,0,0,0,0.0,0.0,0.0,0.0
